Track,Album Name,Artist,Release Date,ISRC,Spotify Streams,Spotify Playlist Count
Suicidal,Melly vs. Melvin,YNW Melly,11/22/19,QMCE31902585,"572,441,305","113,061"
"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",Karan Sehmbi,2/12/19,INS181900313,"72,849,488","9,804"
Sky,Whole Lotta Red,Playboi Carti,12/25/20,USUM72024699,"710,319,373","209,136"
Love On,Love On,Selena Gomez,2/22/24,USUM72318034,"45,878,045","3,731"
Payphone,Overexposed Track By Track,Maroon 5,1/1/12,USUM71203347,"1,828,026,153","249,663"
Brickell,MANIFESTING 20-05,Feid,4/10/24,USUG12402595,"59,546,208","5,064"
I Like Me Better,I Like Me Better,Lauv,5/19/17,GBWWP1702907,"1,784,308,411","157,818"
RUNAWAY,RUNAWAY,OneRepublic,5/26/23,USUM72304684,"127,466,467","16,650"
Que Se Cuide,Que Se Cuide,Luis R Conriquez,5/3/24,QZNJV2414655,"36,145,614","1,566"
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,6/7/19,AUFXV1900105,,"31,705"
On My Love,On My Love (Sped Up),Zara Larsson,9/12/23,USSM12306769,"128,024,416","20,826"
She Share Story,She Share Story,Shayne Orok,6/2/20,QZHN52089091,,"2,443"
Mujeriego,Mujeriego - Single,Ryan Castro,12/17/21,COSO12100328,"285,723,562","63,343"
Miss The Rage (feat. Playboi Carti),Miss The Rage,Trippie Redd,5/7/21,QZJ842000983,"535,695,469","188,778"
TUTA GOLD,TUTA GOLD,Mahmood,2/7/24,ITUM72400066,"95,029,509","5,218"
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/24,USUG12401030,"161,916,445","3,784"
Dandini Dandini Dastana,"Hey Dostum, ï¿½ï¿",Derya Yildirim,2/10/23,DEE882214257,"12,750",8
Florida!!! (feat. Florence + the Machine),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/24,USUG12401035,"140,177,107","3,866"
Legends,Legends,Juice WRLD,6/22/18,USUG11801263,"681,282,854","118,639"
Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,8/12/16,USUM71603293,"972,005,229","186,174"
King Size,Feed Tha Streets III,Roddy Ricch,11/18/22,USAT22220949,"3,248,779","3,105"
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,9/3/21,USUG12104399,"459,480,135","137,691"
Linger - SiriusXM Session,SiriusXM Session,Royel Otis,5/31/24,FRX872443806,"8,053,814",908
SLOW DANCING IN THE DARK,SLOW DANCING IN THE DARK,Joji,9/12/18,ZZOPM1800452,"1,291,244,134","241,882"
BIPOLAR,BIPOLAR,Peso Pluma,9/7/23,QMBZ92388584,"222,295,526","18,049"
Addicted,Addicted (feat. Ink) - Single,Zerb,3/29/24,NLRD52350359,"63,142,772","7,213"
Besos Moja2,Besos Moja2,Wisin & Yandel,9/29/22,USSD12200829,"416,361,102","48,450"
Wake Up in the Sky,Wake Up in the Sky,Gucci Mane,9/14/18,USAT21811087,"996,942,947","188,378"
El Chico Del Apartamento 512 - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/24,USUM72402909,"195,435,575",15
Papercut,Papercuts,Linkin Park,4/12/24,USWB11201315,"497,285,757",130
Chanel,Chanel,Becky G,3/30/23,USRC12300804,"287,853,890","21,244"
Otro Trago,Sueï¿½ï,Sech,4/18/19,QM9WM1900120,"693,061,510","73,605"
Back In Blood (feat. Lil Durk),Back In Blood (feat. Lil Durk),Pooh Shiesty,11/6/20,USAT22007048,"378,239,461","126,894"
Jugaste y Sufrï¿,Corta Venas,Eslabon Armado,12/18/20,USE7D2000268,"492,509,763","83,013"
Una Foto Remix (feat. Emilia),Una Foto Remix (feat. Emilia),Mesita,1/5/24,UYS642300003,"206,001,461","15,932"
Religiously,Religiously,Bailey Zimmerman,3/17/23,USWB12300537,"225,556,005","25,164"
What Happened To Virgil (feat. Gunna),7220,Lil Durk,3/11/22,USQX92200954,"144,889,291","63,045"
Hello,Hello,Adele,10/23/15,GBBKS1500214,"1,550,553,401","140,637"
HAY LUPITA,HAY LUPITA - Single,Lomiiel,3/28/24,QZHNA2429530,"22,692,011","1,996"
Gatita,Gatita,Bellakath,10/5/22,QZPLR2286558,"218,661,601","25,714"
World on Fire,NATE SMITH (DELUXE),Nate Smith,4/28/23,USRN12300006,"100,360,956","15,383"
Love You Anyway,Love You Anyway,Luke Combs,2/10/23,US6XF2100158,"164,507,374","29,896"
MOJABI GHOST,DATA,Tainy,6/29/23,USA2P2331985,"368,429,447","46,625"
N95,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/22,USUM72208963,"426,936,498","118,020"
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,Metro Boomin,12/2/22,USUG12208792,"325,654,069","108,296"
Volvï¿,La mï¿½ï¿½sica de @Gina Yei: #ConTodoElCorazï¿½ï¿½nYMï¿½ï¿½s (Banda Sono,Didi Romero,1/11/23,QZTJ32100010,"47,586",60
You're Really Funny,Rly Funny - EP,Crocodyle,11/11/22,QMEU32216759,,9
Papercut,Papercuts,Linkin Park,4/12/24,USWB12401897,"497,285,757",4
Earned It (Fifty Shades Of Grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),The Weeknd,2/10/15,USUG11500923,"1,667,089,416","97,707"
Gucci Gang,Gucci Gang,Lil Pump,8/31/17,USWB11701486,"648,757,330","66,961"
La Bebe,LPM,Yng Lvcas,12/24/21,QZTAT2174000,"255,707,376","35,404"
Jaded,Endless Summer Vacation,Miley Cyrus,3/10/23,USSM12209778,"173,349,210","22,117"
Bye,Bye,Peso Pluma,5/26/23,QM6P42321186,"252,239,644","24,974"
L$d,Deaf 2 Society,Luclover,4/22/22,QZHN42243265,"34,621,941","15,846"
Wolves,Wolves,Selena Gomez,10/25/17,USUM71712103,"1,358,424,406","123,735"
Scars To Your Beautiful,Know-It-All,Alessia Cara,11/13/15,USUM71506811,"1,422,563,654","129,568"
FRI(END)S,FRI(END)S,V,3/15/24,USA2P2411822,"196,612,187","3,800"
Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,11/19/21,USWD12112914,"318,018,082","41,062"
Volver Al Futuro,Volver Al Futuro,Oscar Maydon,5/30/24,QZ9QQ2400330,"25,593,926","1,247"
Praise God,Donda,Kanye West,8/29/21,USUM72116287,"451,323,154","143,071"
Friesenjung,Friesenjung,Ski Aggu,5/25/23,DE1FB2300037,"150,508,549","70,377"
El Azul,El Azul - Single,Junior H,2/10/23,QZ9QQ2300115,"684,103,586","42,304"
EARFQUAKE,IGOR,"Tyler, The Creator",5/17/19,USQX91901111,"962,546,385","198,786"
Ya Supï¿½ï¿½rame (En V,Ya Supï¿½ï¿½rame (En Vivo) - Si,Grupo Firme,8/13/21,QZDQH2148787,"347,218,974","34,933"
if u think i'm pretty,if u think i'm pretty,Artemas,10/24/23,QZTB92397158,"219,995,278","26,538"
Fin de Semana,Fin de Semana,Oscar Maydon,1/13/23,QZ9QQ2300040,"568,846,143","38,126"
Everybody (feat. Lil Uzi Vert),Pink Friday 2,Nicki Minaj,12/7/23,USUM72318678,"114,947,522","1,384"
Every Breath You Take,Learned from Love,Bonnie Kimmel,5/26/17,ES8481701126,,
My Oh My (feat. DaBaby),Romance,Camila Cabello,12/6/19,USSM11914257,"703,865,912","78,873"
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,10/23/20,US6XF2000192,"472,886,929","66,543"
Fried (She a Vibe),WE DON'T TRUST YOU,Future,3/22/24,USSM12402032,"33,224,742","8,465"
123 Song,123 Song,D Billions,10/23/19,FR96X1996525,"628,692",98
Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,7/20/20,USUM72014370,"578,061,816","190,490"
Numb,Numb,Marshmello,6/10/22,USRC12202117,"401,066,217","70,661"
Ojapiano,Ojapiano - Single,KCee,6/3/23,QZNJW2329848,"27,444,985","8,182"
Area Codes,Area Codes,Kaliii,3/17/23,USAT22301942,"228,240,866","33,819"
Medallo,Hecho En Medellï¿½,Blessd,10/27/21,COA6W2102282,"452,087,681","66,494"
Domingo Abacaxi Flamingo,Domingo Abacaxi Flamingo,Bolofofos,9/2/20,CACWV2000813,"12,933,566","1,887"
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/13,AULI01385760,"2,541,833,602","369,150"
Ch y la Pizza,Ch y la Pizza,Fuerza Regida,12/1/22,QZ9QQ2200104,"511,421,362","37,923"
In Ha Mood,In Ha Mood,Ice Spice,1/6/23,USUG12300365,"190,126,590","39,734"
POR QUï¿½ï¿½ SE,POR QUï¿½ï¿½ SE,Grupo Frontera,5/9/24,FRX452426440,"29,906,024","1,596"
ALL MINE,WASTELAND,Brent Faiyaz,7/8/22,QM24S2203185,"315,014,005","61,987"
Let Me Know (I Wonder Why Freestyle),Sucker,Juice WRLD,7/1/19,USUG11903494,"503,584,339","126,610"
The Night We Met,The Night We Met,Lord Huron,2/9/15,US53Q1200103,"2,097,181,065","286,668"
Playa Del Inglï¿½,Playa Del Inglï¿½ï¿½s - Si,Quevedo,12/15/22,ES5152201707,"347,558,532","68,744"
BOO!SHUT,BOO!SHUT,PIGGS,3/24/23,JPU902300754,"29,649",41
HOLA PERDIDA REMIX,HOLA PERDIDA REMIX,Luck Ra,5/31/24,CLPP22400062,"8,981,282",873
Talk,Talk,Yeat,9/2/22,USUM72216448,"242,057,987","77,898"
Now And Then,Now And Then,The Beatles,11/2/23,GBUM72203947,"66,843,778","23,455"
Sign on the Door,Sign on the Door,Dora Lachaise,3/29/23,GBU2Z2200001,,4
For Life (feat. Zak Abel & Nile Rodgers),For Life (feat. Zak Abel & Nile Rodgers),Kygo,4/19/24,USRC12400376,"36,844,307","4,216"
Kya Loge Tum,Kya Loge Tum,B Praak,5/15/23,INUM72300286,"89,701,636","2,561"
California Breeze,It's Only Me,Lil Baby,10/14/22,USUG12207230,"116,994,951","45,626"
Nonstop,Scorpion,Drake,6/29/18,USCM51800191,"1,118,459,427","175,188"
LOVE DIVE,LOVE DIVE,IVE,4/5/22,KRA382204375,"397,988,770","28,165"
Alucin,Alucin,Eugenio Esquivel,11/17/23,QMFMF2346943,"207,103,587","16,933"
Go Stupid,Go Stupid,Polo G,2/14/20,USQX92000261,"416,388,749","112,485"
POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,7/17/20,USSM12004501,"712,664,065","165,234"
Qual ï¿½ï¿½ o seu des,Qual ï¿½ï¿½ seu des,Tz da Coronel,2/29/24,BC2TS2400002,"71,586,678","6,088"
Lovesick Girls,THE ALBUM,BLACKPINK,10/2/20,KRA402000136,"561,712,007","40,766"
Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),Clean Bandit,5/17/18,GBAHS1800328,"1,042,065,058","114,049"
Una Vida Pasada,Una Vida Pasada,Camilo,4/2/24,USSD12400106,"50,955,386","2,952"
Steven Universe,Steven Universe,L.Dre,2/21/20,QZFZ32084911,"54,104,852","14,464"
places to be,places to be,Fred again..,5/31/24,GBAHS2400279,"11,581,454","2,277"
ASI ES LA VIDA,ASI ES LA VIDA,Enrique Iglesias,9/28/23,USSD12300536,"123,776,123","11,830"
Corazï¿½,Corazï¿½,Maluma,11/3/17,USSD11700459,"598,040,653","52,952"
Elvira,Elvira,Oscar Maydon,12/20/23,QZ9QQ2300978,"183,146,334","8,183"
Fantasias,Fantasias,Rauw Alejandro,8/29/19,QM6P41989279,"663,578,551","76,919"
El Jefe,El Jefe,Shakira,9/20/23,USQX92305281,"122,882,453","11,838"
Am,AM,Nio Garcia,1/28/21,QM4TW2137909,"361,357,607","70,546"
Te Lo Agradezco,Te Lo Agradezco,Kany Garcï¿½,7/27/23,US5022300029,"169,162,533","9,016"
PLEBADA,PLEBADA,El Alfa,6/8/23,QM6P42370020,"148,677,837","17,100"
Danza Kuduro - Cover,CLUB SONG MIX 2023,MUSIC LAB JPN,11/10/23,TCJPX2395275,"1,651,606,290",6
Marea (Weï¿½ï¿½ï¿½ve Lost Da,Marea (Weï¿½ï¿½ï¿½ve Lost Da,Fred again..,2/22/21,GBAHS2100041,"336,943,720","191,372"
Fall In Love,Fall In Love,Bailey Zimmerman,2/11/22,USWB12200122,"262,185,115","47,288"
Cupid,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/23,KSA012239180,"212,084,990","34,632"
Dj Gamm Gamm Piri Slow,Dj Gamm Gamm Piri Slow,DJ BAHBUS,9/28/22,SGB502262965,"32,014",7
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/24,USUG12401036,"165,611,453","4,418"
Waiting For Love,Ibiza Residence 2015,Avicii,1/1/15,CHB701400134,"1,397,975,653","205,128"
BOMBï¿½,LEGENDADDY,Daddy Yankee,3/25/22,USUG12201723,"129,335,327","27,681"
Hello,Hello,Muramatsu Karaoke,12/4/15,USE831522275,"3,531",2
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,4/30/21,USSM12102263,"352,955,079","108,705"
Mo Bamba,Mo Bamba,Sheck Wes,9/19/17,QM24S1703585,"1,056,346,890","198,581"
Bank Account,Issa Album,21 Savage,7/6/17,USSM11705546,"1,150,653,471","195,032"
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Highlights (Deluxe),The Weeknd,2/5/21,USUG12303881,"939,627,795","67,381"
Get You The Moon (feat. Snï¿½ï,Get You The Moon (feat. Snï¿½ï,Kina,10/8/18,USSM11808093,"1,020,435,750","157,944"
Never Felt So Alone,Never Felt So Alone,Labrinth,4/7/23,USSM12302165,"269,669,185","44,019"
Baile do Bruxo,Baile do Bruxo,Tropa do Bruxo,9/29/23,QZWDE2303666,"155,915,718","26,646"
Love Me JeJe,Love Me JeJe - Single,Tems,4/25/24,USRC12400907,"34,621,656","4,787"
Heather,Kid Krow,Conan Gray,3/20/20,USUM71924264,"1,675,083,208","191,604"
Come & Go (with Marshmello),Come & Go (with Marshmello),Juice WRLD,7/9/20,USUG12001904,"959,313,617","180,366"
Mas Rica Que Ayer,Mas Rica Que Ayer,Anuel AA,3/2/23,QM4TX2320032,"256,112,908","34,370"
Love Again,Future Nostalgia,Dua Lipa,3/27/20,GBAHT1901302,"665,464,734","90,805"
Bï¿½ï¿½cane - A COLORS ,Bï¿½ï¿½cane - A Colors Show - Si,Yamï¿,6/1/23,DEXC82300032,"120,595,666","37,922"
all of me,american dream,21 Savage,1/12/24,USSM12304894,"87,111,207","20,380"
Giving Me,Giving Me,Jazzy,3/10/23,GBUM72206719,"150,463,218","44,298"
Attitude (feat. Charlie Wilson & Cash Cobain),Attitude (feat. Charlie Wilson & Cash Cobain),Don Toliver,5/22/24,USAT22402817,"14,204,736","2,162"
What Do You Mean?,Full Circle: The Live Anthology,Justin Bieber,11/20/11,USUM71511919,"1,599,742,798","137,106"
Bailando - English Version,S** AND LOVE,Enrique Iglesias,1/1/14,GBUM71401975,"218,205,900","28,233"
ýýýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý,ýýýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý - Single,Jazzdauren,3/1/24,RUAGV2400963,"2,902,263",968
TV,Guitar Songs,Billie Eilish,7/21/22,USUM72213724,"572,602,278","80,064"
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/24,USUG12401033,"154,819,909","3,535"
Tiroteo - Remix,Tiroteo (Remix),Marc Seguï¿,4/1/21,USWL12100143,"654,941,874","83,163"
pushin P (feat. Young Thug),DRIP SEASON 4EVER,Gunna,1/7/22,QMCE32200039,"368,155,242","125,521"
Take Me to Church,Take Me To Church,Hozier,9/16/13,IEACJ1300031,"2,544,489,950","238,611"
It's You,It's You,Ali Gatie,6/14/19,USWB11901154,"1,123,039,235","140,766"
Love Lee,Love Lee,AKMU,8/21/23,KRA402300033,"72,468,277","10,736"
Jump,TYLA,Tyla,3/1/24,USSM12308661,"95,341,415","10,243"
Venom - Music From The Motion Picture,Kamikaze,Eminem,8/31/18,USUM71813345,"788,282,679","139,716"
fantasmas,fantasmas - Single,Humbe,11/20/23,MXH912300041,"88,072,335","6,388"
Basit Numaralar,Basit Numaralar,Zerrin ï¿½ï¿,8/4/23,TRBTU2300129,"57,370,965","7,149"
Karma,Midnights,Taylor Swift,10/21/22,USUG12205717,"777,305,444","47,435"
The Painter,The Painter - Single,Cody Johnson,8/11/23,QMCQK1900300,"107,754,524","16,004"
Chiky Boom,Chiky Boom,Paylon,11/18/22,ES5052200746,"41,254",14
Me & U,Me & U,Tems,10/5/23,USRC12302300,"100,830,964","24,220"
Vista Al Mar,Vista Al Mar,Quevedo,9/9/22,ZZOPM2239784,"511,726,944","74,845"
Imagine,Imagine,Carbonne,5/3/24,FR9W12422486,"35,864,342","3,113"
All The Stars (with SZA),All The Stars (with SZA),Kendrick Lamar,1/4/18,USUM71713947,"1,638,529,683","207,686"
Lehanga,Lehanga,Jass Manak,7/25/19,FR59R1989925,"41,063,045",297
X (feat. Future),Savage Mode,21 Savage,7/15/16,QZ45A1600041,"581,220,786","115,125"
CRAZYZ,Pa las Baby's Y Belikeada,Fuerza Regida,10/20/23,QZ9QQ2300772,"202,633,616","12,683"
Passionfruit,More Life,Drake,3/18/17,USCM51700072,"1,625,307,365","288,559"
Like Crazy,FACE,Jimin,3/24/23,USA2P2251865,"1,165,398,518","16,425"
I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,ZAYN,12/9/16,USQ4E1602586,"1,662,288,901","129,306"
What It Is (Solo Version),What It Is (Versions),Doechii,3/17/23,USUG12301967,"308,738,277","38,674"
Bad and Boujee (feat. Lil Uzi Vert),Bad and Boujee,Migos,10/28/16,QMCE31600796,"936,450,891","173,279"
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),SUBEME LA RADIO,Enrique Iglesias,2/24/17,USRC11700058,"706,158,416","87,667"
Soak City (Do it),Soak City (Do it),310babii,6/3/23,QZK6G2375527,"128,855,739","26,723"
The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/20,USUM72013367,"560,691,819","166,545"
"yes, and?","yes, and?",Ariana Grande,1/12/24,USUM72400101,"416,813,996","2,906"
Cheerleader - Felix Jaehn Remix Radio Edit,Cheerleader (Felix Jaehn Remix) (Radio Edit),OMI,5/20/14,USUS11202574,"1,663,491,433","49,556"
Woah (feat. D3Mstreet),Woah,KRYPTO9095,3/29/19,QZDA41998629,"92,985,109","21,725"
Take You Dancing,Nu King,Jason Derulo,2/16/24,USAT22400743,,
Wrecking Ball,538 Hitzone Best Of 2013,Miley Cyrus,1/1/13,USRC11301214,"930,004,605","113,036"
Stereo Love (TikTok Remix),Stereo Love (TikTok Remix) - Single,DJRemixGod,4/30/24,QZYFZ2414978,"348,676,476",4
Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,5/8/20,USUM72009644,"1,120,501,187","116,269"
she's all i wanna be,she's all i wanna be,Tate McRae,2/4/22,USRC12103120,"452,628,341","58,658"
Oh My God,30,Adele,11/19/21,USSM12105973,"562,200,390","66,469"
Leave Out All The Rest,Papercuts,Linkin Park,4/12/24,USWB12401901,"270,590,102",4
iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE,12/2/16,USAT21700378,"960,430,911","121,478"
I AM,I've IVE,IVE,4/10/23,QM4TX2337764,"269,067,890","20,356"
Midnight Sky,Midnight Sky,Miley Cyrus,8/14/20,USRC12002653,"629,372,240","86,326"
"Earth, Wind & Fire",HOW?,BOYNEXTDOOR,4/15/24,USA2P2409361,"15,434,400","1,054"
Andrea,Un Verano Sin Ti,Bad Bunny,5/6/22,QM6MZ2214893,"432,885,913","51,912"
Ric Flair Drip (with Metro Boomin),Without Warning,Offset,10/30/17,QZ45A1700064,"1,506,766,477","257,640"
Dï¿½ï¿½,Dï¿½ï¿½,Teya Dora,3/22/23,FRX202362720,"125,289,731","25,929"
Going Bad (feat. Drake),Championships,Meek Mill,11/30/18,USAT21812710,"1,189,579,197","190,095"
Tenho Que Me Decidir,O Cara Do Momento,MC PH,11/29/23,BXG6R2301027,"111,408,880","17,345"
Wunder,Wunder,AYLIVA,4/26/24,DEA622401272,"47,364,546","3,863"
Safaera,YHLQMDLG,Bad Bunny,2/29/20,QM4TX2030965,"868,744,690","116,275"
Baby,R&B Collection 2011,Justin Bieber,1/1/10,USUM70919263,"952,635,214","136,655"
On BS,Her Loss,Drake,11/4/22,USUG12208600,"253,540,951","82,934"
Marlboro Remix,Marlboro Remix - Single,,6/7/24,QZNWT2471497,,
Love Again,Love Again,The Kid LAROI,1/27/23,USSM12211461,"215,466,975","44,476"
LAGUNAS,LAGUNAS,Peso Pluma,6/22/23,QM7282306255,"301,396,080","23,886"
Narcotics (with Bryant Myers),Narcotics (with Bryant Myers),Dei V,9/14/23,QZWA32200363,"154,018,930","23,281"
Linea del Perreo (feat. Dj Kiire),Linea del Perreo (feat. Dj Kiire) - Single,Uzielito Mix,12/12/23,GXBAV2380562,"99,086,405","7,282"
24K Magic,24K Magic,Bruno Mars,10/7/16,USAT21602944,"1,425,996,809","175,419"
The Feels,The Feels,TWICE,10/1/21,US5TA2100080,"431,638,330","43,727"
Someone Like You,21' Sampler,Adele,1/18/11,GBBKS1000351,"1,925,879,064","211,527"
Oh U Went (feat. Drake),BUSINESS IS BUSINESS,Young Thug,6/23/23,USAT22306750,"112,624,663","43,943"
Right Now (Feat. Crush),Right Now,Coogie,9/12/23,KRC712300070,"8,163,960","3,228"
Burn,VULTURES 1,Kanye West,2/9/24,QZ7XS2400009,"147,150,985","20,185"
High Fashion (feat. Mustard),Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/19,USAT21906985,"538,059,363","113,736"
Ronald,Ronald,Falling In Reverse,5/7/24,USEP42414003,"17,589,316","3,463"
We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,2/28/20,USUG12000092,"417,634,388","128,536"
Boss Bitch,Boss Bitch,Doja Cat,1/23/20,USAT21907355,"878,349,171","126,275"
Ballena,Ballena,Vulgo FK,7/13/23,BRRGE2300535,"174,583,156","28,303"
one of wun,One of Wun,Gunna,5/10/24,USAT22403358,,
Locked Away (feat. Adam Levine),Locked Away,R. City,6/29/15,USRC11501369,"990,518,773","143,056"
Tal Vez,Tal Vez,Paulo Londra,4/3/19,USWL11900063,"751,585,271","75,691"
the remedy for a broken heart (why am I so in love),?,XXXTENTACION,3/16/18,USUG11800488,"959,078,765","142,939"
Beautiful Mistakes (feat. Megan Thee Stallion),Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,3/3/21,USUM72103449,"730,200,775","93,856"
Cynical,Cynical,twocolors,6/30/23,DEUM72307092,"112,737,954","20,339"
These Words,These Words,Badger,4/5/24,GBARL2400375,"57,562,320","9,301"
Robarte un Beso,Robarte un Beso,Carlos Vives,7/28/17,USSD11700301,"658,225,560","53,101"
Vida Gangster,Vida Gangster,Lauty Gram,12/8/22,QZW9M2268068,"105,604,106","20,571"
For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,7/1/22,USAT22204903,"264,048,274","62,386"
Cowgirls (feat. ERNEST),One Thing At A Time,Morgan Wallen,3/3/23,USUG12300827,"266,560,481","31,680"
'Til You Can't,'Til You Canï¿½ï¿½ï¿½t / Longer Than S,Cody Johnson,6/11/21,QMCQK1900137,"258,769,609","48,619"
Those Oldies but Goodies,Little Caesar and The Romans: The Extended Play Collection,Little Caesar & the Romans,7/22/14,GBQ2F1157401,,42
Dark Horse,The Top Music of the World,Katy Perry,11/27/13,FR6V82106359,,8
Hass Hass,Hass Hass - Single,Diljit Dosanjh,10/27/23,INW262318603,"106,514,756","10,191"
You Got It,You Got It,Vedo,3/6/20,USUYG1299206,"378,584,974","56,415"
LDR,LDR,Shoti,8/27/22,QZNWS2249445,"37,027,643","5,646"
"Kaavaalaa (From ""Jailer"")","Kaavaalaa (From ""Jailer"")",Shilpa Rao,7/6/23,QMBZ92319256,"94,518,210","5,151"
Me or Sum (feat. Future & Lil Baby),Me or Sum (feat. Future & Lil Baby) - Single,Nardo Wick,11/29/21,USRC12103471,"169,074,195","77,071"
You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Dwayne Johnson,11/18/16,USWD11677860,"551,115,166","57,721"
LA NOCHE DE ANOCHE,EL ï¿½ï¿½LTIMO TOUR DEL M,Bad Bunny,11/27/20,QMFME2066840,"990,189,999","120,639"
Fuk Sumn,VULTURES 1,Kanye West,2/9/24,QZ7XS2400010,"120,079,689","21,002"
Billete Grande (En Vivo),Billete Grande (En Vivo),Fuerza Regida,8/2/22,USDXS2202642,"309,329,645","30,705"
Royals,The Love Club EP,Lorde,1/1/12,NZUM71200031,"1,232,502,989","163,195"
Charm,Charm (Sped Up),Rema,4/26/23,NGA3B2314006,"111,124,873","35,929"
prove it,prove it,21 Savage,1/10/24,USSM12309169,"88,224,186","19,035"
Mon Amour - Remix,Mon Amour (Remix),zzoilo,8/18/21,ES5702101693,"689,939,531","101,479"
Adan y Eva,Adan y Eva,Paulo Londra,11/5/18,USWL11801206,"915,772,593","85,897"
No Lie,Dua Lipa (Complete Edition),Sean Paul,1/1/15,GBUM71604557,"1,162,659,862","180,669"
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,5/16/23,INH102307527,"226,109,929","11,941"
10 Carros,10 Carros,Chefin,11/23/23,BCM9A2300098,"92,949,075","13,213"
The Astronaut,The Astronaut,JIN,10/28/22,USA2P2230326,"422,186,660","12,509"
Gogo Dance,SABIDURIA,El Alfa,4/7/22,QM4TX2261587,"122,568,157","29,662"
Komang,Komang,Raim Laode,8/17/22,SGB502228663,"329,763,216","16,110"
The Spectre,The Spectre,Alan Walker,9/15/17,NOG841713010,"428,110,164","67,602"
ýýýýýýýýýýýýýýýýýý (feat. ýýýýýýýýý ýýýýýýýýýýýýýýý & GUNNER),ýýýýýýýýýýýýýýýýýý (feat. ýýýýýýýýý ýýýýýýýýýýýýýýý & GUNNER) - Single,Juepak,4/6/24,THMOB2412776,"4,399,533",337
DARARI,THE SECOND STEP : CHAPTER ONE,TREASURE,2/15/22,KRA402100151,"224,285,122","23,891"
Ferxxo 100,Ferxxo 100,Feid,6/3/22,USUM72209716,"444,613,276","56,678"
No Te Quieren Conmigo,No Te Quieren Conmigo,Gaby Music,12/15/23,USUM72315218,"138,904,532","20,215"
More than you know,More than you know,NoSpace,7/25/22,QZMEM2268044,"2,030",5
Shower,Crave Vol. 9 (Mixed By DJ Havana Brown),Becky G,1/1/14,USRC11400866,"809,840,469","110,573"
B.O.T.A. (Baddest Of Them All) - Edit,B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,6/15/22,QZAKB2166405,"325,902,688","119,047"
Chatak Matak,Chatak Matak,Renuka Panwar,12/19/20,INT502012314,"24,806,000","1,588"
Cooped Up (with Roddy Ricch),Cooped Up,Post Malone,5/12/22,USUM72208020,"327,011,836","76,622"
FRIENDS,Speak Your Mind,Marshmello,1/1/15,GBAHS1800025,"1,436,709,386","148,480"
FINA,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/23,QMFME2364183,"226,576,178","32,219"
Come back to me,Come back to me,RM,5/10/24,USA2P2421306,"44,991,905","1,389"
Whatsapp (Wassam),Whatsapp (Wassam),Gunna,5/3/24,USAT22403299,"20,011,325","3,854"
